Model Name,MAE,RMSE,WAPE (%),R2 Score
LSTM_custom_with_window,0.407604933817675,2.499450362783168,4.610558424292364,0.9963044024515688
Boosting_custom_with_window,0.4423336067741042,2.5978379152006696,5.0033862886758245,0.9960077315235198
RandomForest_mae_with_window,0.471748548425949,2.8129955847605164,5.336108725970083,0.9953190528419433
RandomForest_custom_with_window,0.471748548425949,2.8129955847605164,5.336108725970083,0.9953190528419433
Boosting,0.5701054973888929,4.058032636783548,6.448657721345199,0.9902584804019979
RandomForest,0.5747636604497605,3.9287391038877826,6.501347792441386,0.9908693432500681
Linear,0.6436247556483831,4.192385709950596,7.280259126022111,0.9896027592202968
LSTM_custom,0.6489249376430632,4.406024298932657,7.340211292245854,0.9885160997012752
MLP,0.7011040676627189,4.473748673725352,7.930427228130431,0.9881603516707933
LSTM_mae_with_window,0.8887944428126472,2.5879988121056052,10.053457075195967,0.996037915050614
LSTM_mae,0.9193284093406516,4.385357568948604,10.39883718451948,0.9886235789315714
Polynomial (d=2),0.9644746215009895,5.961092091969975,10.909501387847898,0.9789792939104274
