iter	MAE
0	0.13794592
1	0.1147709129
2	0.09862014532
3	0.08639642008
4	0.07637834194
5	0.06776971335
6	0.06099683277
7	0.05530024636
8	0.05136213367
9	0.04817537227
10	0.04589839509
11	0.04388344522
12	0.04222846552
13	0.0410455203
14	0.03976936656
15	0.0388249719
16	0.0380830792
17	0.03761355915
18	0.03675870939
19	0.03602616331
20	0.03557593187
21	0.03509709238
22	0.03467542079
23	0.03436572519
24	0.03403084346
25	0.03385405495
26	0.03358347922
27	0.03289180405
28	0.03281355937
29	0.03254880212
30	0.03236918214
31	0.0322259946
32	0.0319673094
33	0.03180728537
34	0.03161038877
35	0.03137232393
36	0.03128698986
37	0.03111387918
38	0.03100571923
39	0.03070658837
40	0.03062788601
41	0.03020969144
42	0.02995966992
43	0.02982153938
44	0.02951459303
45	0.02933772253
46	0.02918687054
47	0.02904555572
48	0.02884553703
49	0.02872223426
50	0.02853919121
51	0.02845216721
52	0.02837222975
53	0.02828279884
54	0.02813520442
55	0.02804245238
56	0.02796467058
57	0.0278631262
58	0.02770727462
59	0.02752835374
60	0.02743781891
61	0.02735590352
62	0.02727203889
63	0.02709870364
64	0.02699414058
65	0.0269665786
66	0.02681261494
67	0.02675649961
68	0.02667582927
69	0.02651287783
70	0.0264600818
71	0.0263223003
72	0.02627321573
73	0.02620094379
74	0.02613471866
75	0.02599277432
76	0.0259491998
77	0.02585296916
78	0.02582669917
79	0.02578338675
80	0.02573612679
81	0.02568506724
82	0.02557537702
83	0.02551203034
84	0.02548010694
