iter	MAE
0	0.2260571835
1	0.2195149458
2	0.2131106029
3	0.2070095099
4	0.2010874988
5	0.197013581
6	0.1915169795
7	0.1861747615
8	0.181052958
9	0.1760228166
10	0.1711887725
11	0.166468195
12	0.1622521735
13	0.1579617965
14	0.1537374677
15	0.1496278906
16	0.1457998042
17	0.1422247057
18	0.1386137415
19	0.1350858326
20	0.131553725
21	0.1283849641
22	0.1252241703
23	0.1222628912
24	0.1193596757
25	0.116569352
26	0.113862114
27	0.1113060944
28	0.1089742303
29	0.1065447426
30	0.1042096469
31	0.1020103891
32	0.09988363925
33	0.09784000464
34	0.09586651306
35	0.09392243912
36	0.09198676192
37	0.0902510859
38	0.08855894148
39	0.08691142035
40	0.08529476522
41	0.0837689074
42	0.08226033264
43	0.08083960224
44	0.07920688347
45	0.07786322484
46	0.07658079509
47	0.07526985115
48	0.0739792729
49	0.07284216581
50	0.071512491
51	0.07048502217
52	0.06947381269
53	0.06851331138
54	0.06753864441
55	0.06661704689
56	0.06562674923
57	0.06479072729
58	0.06393448582
59	0.0631314597
60	0.06232696543
61	0.06125118835
62	0.06048414011
63	0.05951473437
64	0.0588441516
65	0.05812534007
66	0.05746559391
67	0.05688717786
68	0.05630016557
69	0.05568887516
70	0.05515730203
71	0.05431569765
72	0.05378705692
73	0.05326978204
74	0.05255652027
75	0.05190036645
76	0.05147436324
77	0.05100130747
78	0.05060246029
79	0.050214962
80	0.04965001469
81	0.04929198221
82	0.04875275655
83	0.04842376155
84	0.04808378333
85	0.04760657373
86	0.04730476421
87	0.04693612377
88	0.04662592283
89	0.04625325759
90	0.04594919363
91	0.04568141177
92	0.04541416807
93	0.0450938615
94	0.04483264062
95	0.04459541946
96	0.04436724008
97	0.04399980619
98	0.043748442
99	0.04353337107
100	0.04324392917
101	0.04287585671
102	0.04270550318
103	0.0425228832
104	0.04224624785
105	0.04196086232
106	0.04164779201
107	0.04125720613
108	0.04098213981
109	0.04085757152
110	0.04070882861
111	0.04057878916
112	0.04031751513
113	0.04021202211
114	0.04008668731
115	0.039834412
116	0.03972354176
117	0.03958289848
118	0.03943381764
119	0.03919325291
120	0.03908134207
121	0.03899761446
122	0.03887731108
123	0.03878013009
124	0.03868508525
125	0.0385653899
126	0.03837089843
127	0.0382225487
128	0.038162937
129	0.03799803051
130	0.03795312743
131	0.03770063038
132	0.03762765791
133	0.03748355773
134	0.03742523766
135	0.03729160361
136	0.0371438745
137	0.03699660372
138	0.03695573197
139	0.03688601324
140	0.03671179255
141	0.03663696356
142	0.03657695237
143	0.03651544655
144	0.03646531438
145	0.03640660122
146	0.03637466297
147	0.03635616734
148	0.03629124757
149	0.03612182731
150	0.03607880311
151	0.0359811031
152	0.03591898498
153	0.03589122697
154	0.03582120137
155	0.03578804293
156	0.03570830071
157	0.03567119123
158	0.03559811378
159	0.03550655507
160	0.03548880168
161	0.0353897707
162	0.03532627818
163	0.03528094969
164	0.03520963584
165	0.03518352667
166	0.03516293208
167	0.0351305686
168	0.0350730738
169	0.03504672774
170	0.03502644905
171	0.03499616711
172	0.03498108538
173	0.03493283196
174	0.03491109055
175	0.03480268447
176	0.0347189814
177	0.03470367569
178	0.03468070341
179	0.0346416841
180	0.03455316335
181	0.03450732961
182	0.03449009891
183	0.03446633769
184	0.03445416521
185	0.03439951058
186	0.03435285786
187	0.03432215861
188	0.03425076155
189	0.03421930303
190	0.03419474918
191	0.03408531403
192	0.03407109143
193	0.03398258898
194	0.03395517631
195	0.03393666176
196	0.03392063525
197	0.03388234117
198	0.03385883985
199	0.03382664467
200	0.03380186312
201	0.0337484467
202	0.03371628617
203	0.03370940916
204	0.03363916468
205	0.03361878528
206	0.03360369044
207	0.03357928846
208	0.03354681007
209	0.03349188653
210	0.03347216115
211	0.03340115641
212	0.03334142917
213	0.03332772703
214	0.03331738783
215	0.03326848189
216	0.0332600612
217	0.033249915
218	0.03324125132
219	0.03320264175
220	0.03318110495
221	0.03316621337
222	0.03315979162
223	0.03311183027
224	0.03306125128
225	0.03304240759
226	0.03303251998
227	0.03301063693
228	0.0329655289
229	0.03295103833
230	0.03293302753
231	0.03292310319
232	0.03283613413
233	0.0328236694
234	0.03281877435
235	0.03276360321
236	0.03273116831
237	0.03267118483
238	0.03266259849
239	0.0326336217
240	0.03261236767
241	0.03259174199
242	0.03257183048
243	0.03250235236
244	0.03249207575
245	0.03247172925
246	0.03244735646
247	0.0323914618
248	0.03237288681
249	0.0323370588
250	0.03229762366
251	0.03228561391
252	0.03227520973
253	0.03222548025
254	0.03215312347
255	0.03212835561
256	0.03208335041
257	0.03207879511
258	0.03207000224
259	0.03197850445
260	0.03197071684
261	0.03191042763
262	0.03185062875
263	0.03177362006
264	0.03171209885
265	0.03166092747
266	0.0316350324
267	0.03160198784
268	0.03159069345
269	0.03158135107
270	0.03157907237
271	0.03149493171
272	0.03144402341
273	0.03143893701
274	0.03142389524
275	0.03141617717
276	0.03132605843
277	0.03130730389
278	0.03129382742
279	0.03128797576
280	0.03127492297
281	0.03126357944
282	0.03119082571
283	0.03117464346
284	0.03116231107
285	0.03115263008
286	0.03113250417
287	0.03112611523
288	0.03109828029
289	0.03109036425
290	0.03101665727
291	0.03099993515
292	0.03099395497
293	0.03098170827
294	0.03098042551
295	0.03096232977
296	0.03096143934
297	0.03095582142
298	0.03094791812
299	0.03089845279
300	0.03086640147
301	0.03085668033
302	0.03085128864
303	0.03079278078
304	0.03077800515
305	0.03073934018
306	0.03072544659
307	0.03071922872
308	0.03070920872
309	0.03069961202
310	0.03068661226
311	0.03068174744
312	0.03067591089
313	0.03066911463
314	0.03062569978
315	0.03061249758
316	0.0305998277
317	0.03058607335
318	0.03057843726
319	0.03053460446
320	0.03050377281
321	0.03046143982
322	0.0304209851
323	0.030396462
324	0.03039170392
325	0.03035182412
326	0.03034141434
327	0.03032033318
328	0.03030316046
329	0.0302894535
330	0.03026749588
331	0.03024822267
332	0.0302105527
333	0.03018429779
334	0.03017529779
335	0.03016687285
336	0.0301506383
337	0.03013501431
338	0.03012213296
339	0.0301074747
340	0.03008805176
341	0.03006721086
342	0.03004777103
343	0.03004180502
344	0.03000426726
345	0.02999370943
346	0.02997098
347	0.02995366187
348	0.02993236466
349	0.0299186763
350	0.0299028656
351	0.0298877593
352	0.02987224998
353	0.02984975764
354	0.02983493818
355	0.02977834934
356	0.02974956805
357	0.02973736465
358	0.02972008881
359	0.02967744486
360	0.02966757564
361	0.02963357155
362	0.02962436371
363	0.02959178411
364	0.02956239512
365	0.02951726429
366	0.02948290587
367	0.02947308435
368	0.02945402525
369	0.02941669859
370	0.02939936764
371	0.0293083922
372	0.02929036308
373	0.0292785496
374	0.02927271492
375	0.02926306315
376	0.02925089843
377	0.02924257708
378	0.02923024991
379	0.0292194605
380	0.02921512849
381	0.02921169795
382	0.02919696211
383	0.02911221208
384	0.02909749608
385	0.02909334027
386	0.02908571223
387	0.02907258903
388	0.02906426793
389	0.02905520711
390	0.02904583548
391	0.0290417135
392	0.02903730339
393	0.02899314351
394	0.02896963538
395	0.028954391
396	0.02893538947
397	0.02892659855
398	0.02890932681
399	0.0288987591
400	0.02888664675
401	0.02883710464
402	0.02882799049
403	0.02881501129
404	0.02879213132
405	0.0287878978
406	0.02878363526
407	0.02877783779
408	0.02877046634
409	0.02875697516
410	0.02875355968
411	0.02874914548
412	0.02872983864
413	0.02870184761
414	0.02869102613
415	0.02867971687
416	0.02867173091
417	0.02866385849
418	0.02865535723
419	0.02864547733
420	0.02863614342
421	0.02862469288
422	0.02861273939
423	0.02859811683
424	0.02859349508
425	0.02855739047
426	0.02854610128
427	0.02853718606
428	0.02852923828
429	0.0285055575
430	0.02846121155
431	0.02844599394
432	0.02843811387
433	0.02841899229
434	0.02841597185
435	0.02839007979
436	0.02838081196
437	0.02837140221
438	0.02836034378
439	0.0283560536
440	0.02835113998
441	0.02833626836
442	0.02831778886
443	0.02829875686
444	0.0282765917
445	0.02827290849
446	0.02825289687
447	0.02824615053
448	0.02823417371
449	0.0282284044
450	0.02822145542
451	0.02821901579
452	0.02821666503
453	0.0282151406
454	0.02818794749
455	0.02818036167
456	0.02817601804
457	0.02816339258
458	0.02814094206
459	0.0281196174
