Model Name,MAE,RMSE,WAPE (%),R2 Score
Boosting_with_window,0.506186786088464,3.036017603973091,5.725651377688116,0.994547392854229
RandomForest_with_window,0.5134173506906781,3.1781954525251344,5.807438759962642,0.9940247395326375
Boosting,0.575714634875055,3.9238790347994907,6.512104588505563,0.9908919195392516
LSTM_custom_with_window,0.5856290197676154,3.2707806356150226,6.624249577428875,0.9936715336778469
RandomForest,0.5946431521677754,4.074939232087674,6.726211503370222,0.9901771409832433
Linear,0.6129743427737512,3.988634339441839,6.933561852356664,0.9905888198818507
LSTM_custom,0.6471140498264579,4.378721138049046,7.319727722530203,0.9886579851136584
MLP,0.6824817458231739,4.1937631048721205,7.719783794467768,0.9895959261375531
Polynomial (d=2),0.7753782888150765,4.88532859526926,8.770568275576474,0.9858816742424361
