TEC_N_Aver_pred;B1_N_Aver_pred;B1_Reconciled;B1_Delta;B2_N_Aver_pred;B2_Reconciled;B2_Delta;B3_N_Aver_pred;B3_Reconciled;B3_Delta;B4_N_Aver_pred;B4_Reconciled;B4_Delta;Sum_Check;Total_Error_Before;Total_Error_After
813.4227294921875;216.08832568673844;210.21861788132827;-5.869707805410172;0.0;0.0;0.0;218.6074981689453;212.73779036353514;-5.869707805410172;396.3360290527344;390.4663212473242;-5.869707805410201;813.4227294921875;17.60912341623066;0.0
811.1421508789062;217.35057722021176;231.67457889509888;14.324001674887114;0.0;0.0;0.0;200.5814666748047;214.9054683496918;14.324001674887114;350.23809814453125;364.56210363411566;14.324005489584408;811.1421508789062;-42.97200883935852;0.0
812.4490966796875;217.66819934835905;232.1225953419399;14.454395993580846;0.0;0.0;0.0;200.5157928466797;214.97018884026053;14.454395993580846;350.90191650390625;365.3563124974871;14.454395993580874;812.4490966796875;-43.36318798074251;0.0
817.0445556640625;214.06239111015844;230.77953454381657;16.717143433658123;0.0;0.0;0.0;200.3394317626953;217.05657519635344;16.717143433658123;352.4913024902344;369.2084459238925;16.717143433658123;817.0445556640625;-50.151430300974425;0.0
804.8187866210938;210.52295746631142;225.41190633659045;14.888948870279023;0.0;0.0;0.0;200.80149841308594;215.69044728336496;14.888948870279023;348.8274841308594;363.7164330011384;14.888948870279023;804.8187866210938;-44.666846610836956;0.0
796.4136962890625;206.61099319721677;220.9959518450195;14.384958647802733;0.0;0.0;0.0;201.12725830078125;215.51221694858398;14.384958647802733;345.52056884765625;359.90552749545895;14.384958647802705;796.4136962890625;-43.15487594340823;0.0
790.4759521484375;199.05269390336605;214.56146085256952;15.508766949203476;0.0;0.0;0.0;201.34413146972656;216.85289841893004;15.508766949203476;343.5528259277344;359.0615928769379;15.508766949203505;790.4759521484375;-46.526300847610514;0.0
793.0778198242188;162.31354905520678;190.76339468263788;28.449845627431102;0.0;0.0;0.0;201.25308227539062;229.7029279028217;28.449845627431074;344.1616516113281;372.6114972387592;28.449845627431102;793.0778198242188;-85.34953688229325;0.0
405.7090759277344;215.64920276220147;209.91425439623745;-5.734948365964016;0.0;0.0;0.0;201.52976989746094;195.79482153149692;-5.734948365964016;0.0;0.0;0.0;405.7090759277344;11.469896731928031;0.0
408.02764892578125;218.81441798674155;212.69102246993327;-6.123395516808273;0.0;0.0;0.0;201.46002197265625;195.33662645584798;-6.123395516808273;0.0;0.0;0.0;408.02764892578125;12.246791033616546;0.0
405.00299072265625;215.53304610300208;209.4910256149776;-6.042020488024491;0.0;0.0;0.0;201.55398559570312;195.51196510767863;-6.042020488024491;0.0;0.0;0.0;405.00299072265625;12.084040976048982;0.0
408.9629821777344;218.69826132754216;213.11504558076325;-5.5832157467789045;0.0;0.0;0.0;201.43115234375;195.8479365969711;-5.5832157467789045;0.0;0.0;0.0;408.9629821777344;11.166431493557752;0.0
419.4120788574219;225.00311982785936;221.65308731871485;-3.350032509144512;0.0;0.0;0.0;201.10902404785156;197.75899153870705;-3.350032509144512;0.0;0.0;0.0;419.4120788574219;6.700065018289024;0.0
419.232666015625;224.88696316865997;221.5022508104042;-3.3847123582557685;0.0;0.0;0.0;201.11512756347656;197.7304152052208;-3.3847123582557685;0.0;0.0;0.0;419.232666015625;6.769424716511537;0.0
