Model Name,MAE,RMSE,WAPE (%),R2 Score
Boosting,2.5980472955030915,6.469936737208042,3.1024592492862038,0.9962851694934736
Boosting_with_window,2.77063743277689,6.757620408867922,3.3085578328829994,0.9959474673677496
Linear,3.5896072126283234,7.881685044848278,4.286530933212552,0.9944871384262994
RandomForest_with_window,3.5921766395574504,7.611431055431546,4.289599215439527,0.9948587162818203
RandomForest,3.6101461814063716,7.350333370558865,4.311057551248546,0.995205393073287
LSTM_custom,3.6170557126573706,9.368995652932815,4.319308570841223,0.9922102232743008
LSTM_custom_with_window,3.976837251505274,8.817817111405715,4.748941843820172,0.9930998090540606
MLP,4.940136934511222,10.274959932096241,5.8992665575192555,0.990630871207958
Polynomial (d=2),6.32991479089057,14.166275703032591,7.558870357819715,0.9821905579172677
