Model Name,MAE,RMSE,WAPE (%),R2 Score
RandomForest_with_window,17.293131524027377,25.897013216979325,3.5547047186409197,0.9816956882987226
Boosting_with_window,17.34263965634467,25.58706248315692,3.5648814059178804,0.9821312198628347
LSTM_custom_with_window,17.440876917110995,26.493985360780545,3.585074651652883,0.9808420678928194
LSTM_custom,20.85076949583997,30.977842722829607,4.285998091853704,0.9738087403020366
Linear,22.20219813169397,31.07436595125616,4.563792182652239,0.9736452683948246
MLP,22.583617374211904,34.0063196170122,4.6421951473943475,0.9684373608241799
RandomForest,26.913359342121367,37.29500163774979,5.532199030290914,0.9620374561168348
Boosting,30.08477002460154,41.56476994583848,6.18410111650919,0.952847490848937
Polynomial (d=2),33.79353387230801,43.82709075833016,6.946459300823557,0.9475748922036737
