Model Name,MAE,RMSE,WAPE (%),R2 Score
Boosting_custom_with_window,0.44282176578646937,2.6675369073322104,5.00890802175637,0.9957906357202592
RandomForest_custom_with_window,0.49916999229378994,3.033172359956131,5.646282029926424,0.9945576080310211
RandomForest_mae_with_window,0.49916999229378994,3.033172359956131,5.646282029926424,0.9945576080310211
LSTM_custom_with_window,0.526514006207703,3.2097240203900697,5.9555794972655995,0.9939055990611918
Boosting,0.5410738301934561,3.908638561745736,6.1202706321470925,0.9909625342954738
RandomForest,0.5704199487427487,3.9507616280896394,6.45221458785555,0.9907666926639062
LSTM_custom,0.575972212287271,3.9837539496892584,6.51501813446458,0.9906118363449221
Linear,0.6171699451219036,4.0174596840190615,6.981019741470212,0.9904523015945395
MLP,0.7125344071114897,4.512455223302007,8.059719696071031,0.9879545938437939
LSTM_mae_with_window,0.8726348087105268,2.6060324860174306,9.870669942456448,0.9959825055275241
Polynomial (d=2),0.8743783227334767,5.374938477073506,9.890391424213536,0.9829099775723542
LSTM_mae,0.8914159136629367,4.161791934065471,10.08310942606335,0.9897539524778766
