TEC_N_Aver_pred;B1_N_Aver_pred;B1_Reconciled;B1_Delta;B2_N_Aver_pred;B2_Reconciled;B2_Delta;B3_N_Aver_pred;B3_Reconciled;B3_Delta;B4_N_Aver_pred;B4_Reconciled;B4_Delta;Sum_Check;Total_Error_Before;Total_Error_After
829.5911254882812;216.09205269642246;218.7119232384863;2.619870542063836;0.0;0.0;0.0;202.92044;205.54031121589196;2.619870542063836;402.71902037262976;405.33889103390294;2.6198706612731826;829.5911254882812;-7.859611745400912;0.0
826.3864135742188;217.35529864840154;250.0;32.64470135159846;0.0;0.0;0.0;183.84486;217.29877824518144;33.453914353579876;325.6337209754575;359.0876353290373;33.45391435357982;826.3864135742188;-99.55253005875807;0.0
828.41455078125;217.67232171892883;250.0;32.32767828107117;0.0;0.0;0.0;184.64908;218.17771644494292;33.52863807580229;326.70821134151345;360.23683433630714;33.52862299479369;828.41455078125;-99.38493935166707;0.0
833.852783203125;214.06513551313293;249.45928866321395;35.394153150081024;0.0;0.0;0.0;186.8084;222.2025485358232;35.394153150081024;326.79679285400687;362.1909460040879;35.394153150081024;833.852783203125;-106.18245945024296;0.0
819.5753784179688;210.52781839403062;245.1595402256388;34.63172183160819;0.0;0.0;0.0;181.1493;215.78102908258472;34.63172183160816;324.00308727813706;358.6348091097452;34.63172183160816;819.5753784179688;-103.89516549482448;0.0
809.4517822265625;206.6130978789914;244.39606137644734;37.78296349745594;0.0;0.0;0.0;177.15764;214.94060204726065;37.78296349745597;312.3321858229766;350.11511880285445;37.78293297987784;809.4517822265625;-113.34885997478978;0.0
802.2355346679688;199.0579841747448;238.3321903749793;39.27420620023449;0.0;0.0;0.0;174.53099;213.80519680082043;39.27420620023449;310.8239412919346;350.09814749216906;39.27420620023446;802.2355346679688;-117.82261860070344;0.0
805.5277099609375;162.3439252388949;214.41189971861303;52.06797447971812;0.0;0.0;0.0;175.61566;227.68363610081195;52.0679744797182;311.36416914421625;363.43217414151263;52.068004997296384;805.5277099609376;-156.20395395673256;1.1368683772161603e-13
416.2693176269531;215.65170000578604;221.71863412154536;6.066934115759324;0.0;0.0;0.0;188.48375;194.55068350540776;6.066934115759324;0.0;0.0;0.0;416.2693176269531;-12.133868231518647;0.0
418.845458984375;218.8154246962877;223.80785120312433;4.992426506836637;0.0;0.0;0.0;190.04518;195.0376077812507;4.992426506836637;0.0;0.0;0.0;418.845458984375;-9.984853013673273;0.0
415.3743896484375;215.65170000578604;221.54233407271724;5.890634066931199;0.0;0.0;0.0;187.94142;193.83205557572026;5.890634066931199;0.0;0.0;0.0;415.3743896484375;-11.781268133862397;0.0
419.91070556640625;218.69966735926278;223.9596969608814;5.260029601618612;0.0;0.0;0.0;190.69098;195.95100860552486;5.260029601618612;0.0;0.0;0.0;419.91070556640625;-10.520059203237224;0.0
431.8167724609375;224.8887392275666;229.39680033888095;4.508061111314362;0.0;0.0;0.0;197.91191;202.41997212205655;4.508061111314362;0.0;0.0;0.0;431.8167724609375;-9.016122222628724;0.0
431.5908203125;225.0044965645915;229.41023778424886;4.405741219657358;0.0;0.0;0.0;197.77484;202.1805825282511;4.405741219657358;0.0;0.0;0.0;431.5908203125;-8.811482439314773;0.0
430.0097351074219;224.8887392275666;229.04128581251376;4.152546584947174;0.0;0.0;0.0;196.8159;200.9684492949081;4.152546584947174;0.0;0.0;0.0;430.0097351074219;-8.305093169894349;0.0
430.6307678222656;225.0044965645915;224.06895207868246;-0.9355444859090483;0.0;0.0;0.0;207.49736;206.56181574358314;-0.9355444859090483;0.0;0.0;0.0;430.6307678222656;1.8710889718180397;0.0
431.16717529296875;225.0044965645915;224.17243718610433;-0.8320593784871733;0.0;0.0;0.0;207.8268;206.9947381068644;-0.8320593784871733;0.0;0.0;0.0;431.16717529296875;1.6641187569742897;0.0
435.8613586425781;226.63952322029806;225.8092864514576;-0.8302367688404502;0.0;0.0;0.0;210.88231;210.0520721911205;-0.8302367688404502;0.0;0.0;0.0;435.8613586425781;1.6604735376809003;0.0
434.47442626953125;226.36809953468477;225.4055844963463;-0.9625150383384664;0.0;0.0;0.0;210.03136;209.06884177318497;-0.9625150383384664;0.0;0.0;0.0;434.47442626953125;1.9250300766769897;0.0
435.8047790527344;226.63952322029806;225.79835352909433;-0.8411696912037314;0.0;0.0;0.0;210.8476;210.00642552364002;-0.8411696912037314;0.0;0.0;0.0;435.8047790527344;1.6823393824074628;0.0
420.1350402832031;218.8154246962877;219.09713495556574;0.28171025927804294;0.0;0.0;0.0;200.7562;201.03790532763742;0.28171025927804294;0.0;0.0;0.0;420.1350402832031;-0.5634205185560859;0.0
407.7319641113281;208.4939185237333;211.55823855874164;3.064320035008336;0.0;0.0;0.0;193.1094;196.17372555258646;3.064320035008336;0.0;0.0;0.0;407.7319641113281;-6.128640070016672;0.0
410.0708312988281;210.1697384480596;212.8449018778384;2.6751634297787916;0.0;0.0;0.0;194.55077;197.22592942098973;2.6751634297787916;0.0;0.0;0.0;410.0708312988281;-5.350326859557583;0.0
402.5937805175781;206.87053766334168;209.76929898303803;2.898761319696348;0.0;0.0;0.0;189.92572;192.8244815345401;2.898761319696348;0.0;0.0;0.0;402.5937805175781;-5.797522639392696;0.0
784.9320678710938;201.44571606127002;206.19555747166646;4.749841410396442;0.0;0.0;0.0;178.87637;183.62621470141207;4.749841410396442;390.3604542876187;395.1102956980152;4.749841410396471;784.9320678710938;-14.249524231189412;0.0
582.7833862304688;0.0;0.0;0.0;0.0;0.0;0.0;194.95058;208.06900502146266;13.118428239236096;361.59595296977;374.7143812090061;13.118428239236096;582.7833862304688;-26.23685647847219;0.0
569.640625;0.0;0.0;0.0;0.0;0.0;0.0;190.81886;202.04010998128035;11.22124706624129;356.37926795247836;367.60051501871965;11.22124706624129;569.640625;-22.44249413248258;0.0
607.3322143554688;0.0;0.0;0.0;0.0;0.0;0.0;205.34315;212.8039221392564;7.460767232029838;387.06752498418257;394.5282922162124;7.460767232029809;607.3322143554688;-14.921534464059619;0.0
609.45947265625;0.0;0.0;0.0;0.0;0.0;0.0;206.1812;213.60067432672506;7.419476206607868;388.43932212291713;395.858798329525;7.41947620660784;609.45947265625;-14.83895241321568;0.0
606.311767578125;0.0;0.0;0.0;0.0;0.0;0.0;204.94138;212.62692431601386;7.685548583591981;385.9992946785191;393.6848432621111;7.685548583591981;606.311767578125;-15.371097167183962;0.0
608.0128173828125;0.0;0.0;0.0;0.0;0.0;0.0;205.61174;212.96253107709103;7.350790964786341;387.6994953409352;395.0502863057215;7.350790964786313;608.0128173828125;-14.701581929572626;0.0
613.5907592773438;0.0;0.0;0.0;0.0;0.0;0.0;207.94077;214.61702774301807;6.676262362158695;392.29746917216704;398.97373153432574;6.676262362158695;613.5907592773438;-13.35252472431739;0.0
619.9048461914062;0.0;0.0;0.0;0.0;0.0;0.0;210.7166;217.3662302075182;6.6496316967760265;395.88898428711207;402.53861598388806;6.649631696775998;619.9048461914062;-13.299263393551996;0.0
625.162109375;0.0;0.0;0.0;0.0;0.0;0.0;212.86531;219.60289947754833;6.737588808603022;398.8216210888487;405.5592098974517;6.737588808602993;625.162109375;-13.475177617205986;0.0
626.2744140625;0.0;0.0;0.0;0.0;0.0;0.0;213.272;220.36239807373974;7.090394899911615;398.8216210888487;405.9120159887603;7.090394899911587;626.2744140625;-14.180789799823174;0.0
