Model Name,MAE,RMSE,WAPE (%),R2 Score
RandomForest_custom_with_window,11.953541677088166,18.040700899254617,4.285019476580721,0.9787710022178702
Boosting_custom_with_window,12.025682776565931,19.176414120956153,4.310880098032913,0.9760140193620434
RandomForest_mae_with_window,12.561817282294973,18.492863674562212,4.503069731965368,0.9776935214349237
RandomForest,13.995150508915952,23.5013574999926,5.016880697653766,0.9639746194590069
LSTM_custom_with_window,14.559223565768061,28.728829146876635,5.219085542052192,0.9461657667179605
MLP,15.09286968481725,28.132714284323377,5.410383157060342,0.9483766777811887
Boosting,15.436423863438215,24.63406075166551,5.5335379831712705,0.9604182769896676
LSTM_mae_with_window,15.693995179462757,28.52938396219057,5.625870292338619,0.9469106427926631
LSTM_mae,16.94869622319617,29.715020932814976,6.075646480427629,0.9424063291411364
LSTM_custom,20.5536941300153,59.92515463376083,7.367940150458624,0.7657708157891382
Linear,21.12900513814954,59.90388082920913,7.574173494645786,0.7659370919189934
Polynomial (d=2),25.01722977930461,60.89422012144187,8.967996243313287,0.7581339986827803
