Model Name,MAE,RMSE,MAPE (%),R2 Score
Boosting_with_window,17.05315829646534,26.31524785929793,2.9198479527632486,0.9483275794163093
LSTM_with_Window,18.647116219811483,27.970538005713344,3.0411301482961486,0.9416224967645646
LSTM,23.628850463952105,33.09784289113239,3.9499652242072343,0.918258376932371
simple_MLP,24.141605927040874,33.966493149270256,3.850500612290133,0.9139114688296782
Polynomial (d=2),24.170084993090807,32.137517701243624,3.9669973115324018,0.9229329856509293
Linear,24.170787684491135,32.864143648337134,4.154030683546034,0.9194086339946951
MLP,24.1887738515625,34.52477490254345,3.96293621498929,0.9110582668468155
Boosting,27.515128786834747,34.42516979395385,4.466478352837384,0.9115707261857932
RandomForest,29.9800729826501,41.061237173317984,4.672738934274081,0.8741920929033353
