Model Name,MAE,RMSE,WAPE (%),R2 Score
Boosting_with_window,10.739076003730482,17.309903383167402,3.8496665741057057,0.9804560669289794
RandomForest_with_window,11.401290069573411,16.99609810750171,4.087052300148859,0.9811582543121415
Boosting,11.402992426640722,20.740523996209767,4.087662548842223,0.971941650033804
LSTM_custom_with_window,11.493097549411573,17.475997296323207,4.119962783905849,0.9800792072717001
LSTM_custom,12.089361227862508,21.008709819160224,4.333707090351628,0.9712113404416638
MLP,12.905772944929959,22.087860054109793,4.626368479172328,0.9681778174283076
Linear,13.081326235660509,21.19883391730611,4.6892995576994645,0.9706879209091704
RandomForest,13.254174412253574,21.12487627247791,4.751260926405143,0.9708920897596562
Polynomial (d=2),22.862977098099034,30.58819760440524,8.19575526688907,0.9389718151057317
