Model Name,MAE,RMSE,WAPE (%),R2 Score
Boosting_with_window,0.4656282552310018,2.7477949446883145,5.266880002252707,0.9955335314747521
RandomForest_with_window,0.5096428994371056,3.1802745987728094,5.764744654517824,0.994016919054498
LSTM_custom_with_window,0.530224807642068,3.065255522499401,5.9975536378969325,0.9944418661059484
Boosting,0.5583689427618593,3.9573260344723744,6.315901549085415,0.9907359838833131
RandomForest,0.5734979130591654,4.030266620042254,6.4870304920101205,0.9903913318920907
LSTM_custom,0.6140337396123604,4.182575817309282,6.945545051316428,0.9896513599413589
Linear,0.6436247556483841,4.1923857099506,7.280259126022122,0.9896027592202968
MLP,0.7021853210060459,4.3588128867260405,7.942657653469444,0.98876088564851
Polynomial (d=2),0.9644746215010351,5.961092091970151,10.909501387848415,0.9789792939104262
