Model Name,MAE,RMSE,WAPE (%),R2 Score
Boosting_with_window,5.13237010869959,9.56175724822643,4.526703647921798,0.9919752139626199
Boosting,5.568506699275515,10.72131234936611,4.91137214488108,0.9899108650352211
LSTM_custom_with_window,5.713625266688645,10.783471737702495,5.039365398402822,0.9897935375254485
MLP,5.957169010624006,10.744797168103277,5.254168760348998,0.9898666165316925
LSTM_custom,6.0035238122636345,11.750931632947195,5.295053272813351,0.9878799996214924
RandomForest_with_window,7.047918684942786,12.491550495504857,6.216200029555219,0.9863040951522768
Linear,7.421871182619174,12.953701971864493,6.546022723462632,0.9852719301166678
RandomForest,7.915345302420568,14.079414298868453,6.981262398495723,0.9826008828800195
Polynomial (d=2),9.545449884034689,15.072781554535277,8.418999779044128,0.980059095918495
