Model Name,MAE,RMSE,WAPE (%),R2 Score
LSTM_custom_with_window,16.90903727690523,25.682348838942747,3.4757518909965515,0.9819978851915898
Boosting_with_window,16.993008137710497,25.12429438195072,3.4930125944566557,0.9827717251101131
RandomForest_with_window,17.30285533592469,25.433011221303087,3.5567035052682305,0.9823457362072548
MLP,18.902409549587606,29.486070258689683,3.8855012654153374,0.9762705409510871
LSTM_custom,20.10479848784522,30.05332589008487,4.132659371310005,0.9753487397120523
Linear,22.20219813169397,31.07436595125616,4.563792182652239,0.9736452683948246
RandomForest,26.359879572492073,36.58445786208262,5.41842801397499,0.9634702001046886
Boosting,28.614329128213228,39.50611599635473,5.881843356796228,0.9574026369878894
Polynomial (d=2),33.79353387230801,43.82709075833016,6.946459300823557,0.9475748922036737
