Model Name,MAE,RMSE,WAPE (%),R2 Score
Boosting_custom_with_window,2.649048308353094,6.279491838981363,3.163362129812409,0.9965006455398079
RandomForest,3.125726359343286,7.1626244314340966,3.7325874209708862,0.9954471504990877
LSTM_custom,3.218319768237461,8.374716542824142,3.843157878384767,0.9937758626473712
LSTM_custom_with_window,3.2901457612833402,8.507801379593852,3.9289289175995106,0.993576472024195
LSTM_mae_with_window,3.599177714793759,7.639471325244218,4.29795955232001,0.9948207658550189
LSTM_mae,3.648038047506892,7.844309247626295,4.356306138778017,0.9945392996190401
MLP,3.691711824281893,7.819889452264682,4.4084591973237135,0.9945732456606118
Boosting,3.764883760997274,7.837104106504646,4.4958374957264216,0.9945493265177823
RandomForest_mae_with_window,3.8292398111320516,8.62129254413883,4.572688299533481,0.9934039536415008
RandomForest_custom_with_window,3.8292398111320516,8.62129254413883,4.572688299533481,0.9934039536415008
Linear,5.2556340033468985,8.874237993525409,6.276017512371443,0.9930112246862183
Polynomial (d=2),7.33549993555149,9.66836546773048,8.75969027299141,0.9917044525447634
