Model Name,MAE,RMSE,WAPE (%),R2 Score
LSTM_custom_with_window,16.78463775762154,25.882893503205,3.4501808394157543,0.9817156428149187
RandomForest_mae_with_window,17.31384212729338,26.10752259963951,3.558961904741267,0.9813968978381221
RandomForest_custom_with_window,17.31384212729338,26.10752259963951,3.558961904741267,0.9813968978381221
LSTM_mae_with_window,17.64550769793673,25.985394135521226,3.6271377101087645,0.9815705377736855
Boosting_custom_with_window,18.318408574546545,26.144556372131994,3.7654564361266107,0.9813440830460125
LSTM_custom,20.215054369214023,30.8527075241845,4.155323115075271,0.9740199124535011
LSTM_mae,20.720732099440962,30.83394407725334,4.259268141529954,0.9740515030528905
MLP,21.362058332099963,31.851639990743315,4.3910965140982,0.972310338756181
Linear,23.15748778253183,31.411564210216437,4.76015757921353,0.9730701972078531
Polynomial (d=2),23.15748778253183,31.411564210216437,4.76015757921353,0.9730701972078531
RandomForest,26.801642002291484,36.92751195209959,5.509234875158252,0.9627819049575744
Boosting,27.946639433224696,38.65462886810158,5.744595819757262,0.9592190760074597
