Model Name,MAE,RMSE,WAPE (%),R2 Score
Boosting_custom_with_window,0.47811564334077045,2.7764534625543567,5.408129108115236,0.9954398782873325
RandomForest_custom_with_window,0.5358382011266568,2.99173358534596,6.061048646107052,0.9947052986169355
RandomForest_mae_with_window,0.5358382011266568,2.99173358534596,6.061048646107052,0.9947052986169355
Boosting,0.5792340965564693,3.997816019809344,6.551914419932865,0.9905454416741232
LSTM_custom,0.8477543494352109,5.385437114569918,9.589238581855248,0.9828431499501773
LSTM_mae_with_window,0.8488829227243602,4.267647732704163,9.602004259240413,0.9892261043359217
RandomForest,0.9147337723610734,5.692345338858037,10.346865678594982,0.9808319419116249
LSTM_custom_with_window,0.9186373609797971,8.681779320150074,10.391020500820659,0.9554124999976362
MLP,1.112195086752889,5.5600339673468655,12.580417951905446,0.9817126605193061
LSTM_mae,1.115155978784559,6.357676644191702,12.613909611518531,0.9760892879848594
Linear,1.6404305263870138,5.233957867160686,18.555469169769985,0.9837947370604944
Polynomial (d=2),2.4280484796182815,5.377380947301001,27.464484464022203,0.9828944420065876
