Model Name,MAE,RMSE,WAPE (%),R2 Score
LSTM_custom_with_window,7.858977460708531,13.251929957110754,3.6108054384933177,0.9822308606935983
RandomForest_custom_with_window,7.879677859779537,13.207277746133922,3.62031623222167,0.9823504047345448
LSTM_mae_with_window,8.049519391655993,13.314012017890938,3.698349886096821,0.982063982544953
Boosting_custom_with_window,8.056771272383743,13.332584128582008,3.7016817610769928,0.9820139086779036
RandomForest_mae_with_window,8.753842734198106,14.964823053957323,4.021951088469982,0.9773404489639745
MLP,9.460804462838333,14.307252924587015,4.346764496746461,0.9792880667375999
RandomForest,9.736662895170497,14.85437231067668,4.47350759185001,0.9776737009081952
LSTM_custom,9.75590599491778,15.319420204919679,4.482348829729663,0.9762538729931807
Polynomial (d=2),9.969457452835156,14.603046690400253,4.580464999358774,0.9784228005404849
Linear,9.990553254355481,15.154182266098548,4.590157460654125,0.9767633700686082
LSTM_mae,10.255015780296842,15.22441203746268,4.711664709112459,0.9765474976997486
Boosting,10.41981295789486,15.349281891426735,4.787380735541376,0.9761612075392614
