TEC_N_Aver_pred;B1_N_Aver_pred;B1_Reconciled;B1_Delta;B2_N_Aver_pred;B2_Reconciled;B2_Delta;Sum_Check;Total_Error_Before;Total_Error_After
278.50390625;135.69843488330488;133.67108633813683;-2.027348545168053;146.86016845703125;144.8328199118632;-2.027348545168053;278.50390625;4.0546970903361625;0.0
279.7890625;135.91603149950646;156.69448883324932;20.778457333742864;102.31611633300781;123.09457366675066;20.77845733374285;279.7890625;-41.55691466748573;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
79.43793487548828;0.0;0.0;0.0;67.36746978759766;79.43793487548828;12.070465087890625;79.43793487548828;-12.070465087890625;0.0
150.83290100097656;0.0;0.0;0.0;128.20230102539062;150.83290100097656;22.630599975585938;150.83290100097656;-22.630599975585938;0.0
152.83303833007812;0.0;0.0;0.0;128.41995239257812;152.83303833007812;24.4130859375;152.83303833007812;-24.4130859375;0.0
151.3323516845703;0.0;0.0;0.0;128.2547607421875;151.3323516845703;23.077590942382812;151.3323516845703;-23.077590942382812;0.0
152.06272888183594;0.0;0.0;0.0;128.3331756591797;152.06272888183594;23.72955322265625;152.06272888183594;-23.72955322265625;0.0
153.23910522460938;0.0;0.0;0.0;128.4890594482422;153.23910522460938;24.750045776367188;153.23910522460938;-24.750045776367188;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
148.7312469482422;0.0;0.0;0.0;150.93218994140625;148.7312469482422;-2.2009429931640625;148.7312469482422;2.2009429931640625;0.0
148.5485382080078;0.0;0.0;0.0;150.91259765625;148.5485382080078;-2.3640594482421875;148.5485382080078;2.3640594482421875;0.0
79.95611572265625;0.0;0.0;0.0;76.05054473876953;79.95611572265625;3.9055709838867188;79.95611572265625;-3.9055709838867188;0.0
79.82965850830078;0.0;0.0;0.0;76.30944061279297;79.82965850830078;3.5202178955078125;79.82965850830078;-3.5202178955078125;0.0
79.79772186279297;0.0;0.0;0.0;76.30441284179688;79.79772186279297;3.4933090209960938;79.79772186279297;-3.4933090209960938;0.0
147.27418518066406;0.0;0.0;0.0;150.3019256591797;147.27418518066406;-3.027740478515625;147.27418518066406;3.027740478515625;0.0
148.36460876464844;0.0;0.0;0.0;150.25204467773438;148.36460876464844;-1.8874359130859375;148.36460876464844;1.8874359130859375;0.0
148.08653259277344;0.0;0.0;0.0;150.17245483398438;148.08653259277344;-2.0859222412109375;148.08653259277344;2.0859222412109375;0.0
151.24981689453125;0.0;0.0;0.0;152.27447509765625;151.24981689453125;-1.024658203125;151.24981689453125;1.024658203125;0.0
151.3323516845703;0.0;0.0;0.0;152.28347778320312;151.3323516845703;-0.9511260986328125;151.3323516845703;0.9511260986328125;0.0
209.8704376220703;75.6888205965903;68.03210103315844;-7.656719563431864;149.49505615234375;141.8383365889119;-7.656719563431864;209.8704376220703;15.313439126863727;0.0
209.26461791992188;75.4712239803887;67.56214244673733;-7.909081533651374;149.61155700683594;141.70247547318456;-7.909081533651374;209.26461791992188;15.818163067302748;0.0
209.7849578857422;75.6888205965903;67.96596944136157;-7.722851155228739;149.54183959960938;141.81898844438064;-7.722851155228739;209.7849578857422;15.445702310457477;0.0
209.08834838867188;75.4712239803887;67.47818095992092;-7.9930430204677805;149.60321044921875;141.61016742875097;-7.9930430204677805;209.08834838867188;15.986086040935561;0.0
209.3522186279297;75.4712239803887;67.60984905074123;-7.861374929647468;149.60374450683594;141.74236957718847;-7.861374929647468;209.3522186279297;15.722749859294936;0.0
209.61289978027344;75.4712239803887;67.7594996244717;-7.711724355916999;149.56512451171875;141.85340015580175;-7.711724355916999;209.61289978027344;15.423448711833998;0.0
209.7849578857422;75.6888205965903;67.96596944136157;-7.722851155228739;149.54183959960938;141.81898844438064;-7.722851155228739;209.7849578857422;15.445702310457477;0.0
208.0930633544922;75.46886165086141;68.02247098656352;-7.446390664297894;147.51698303222656;140.07059236792867;-7.446390664297894;208.0930633544922;14.892781328595788;0.0
207.3411865234375;75.44077716164396;67.94085519459152;-7.499921967052444;146.90025329589844;139.400331328846;-7.499921967052444;207.3411865234375;14.999843934104888;0.0
209.08834838867188;75.4712239803887;67.47818095992092;-7.9930430204677805;149.60321044921875;141.61016742875097;-7.9930430204677805;209.08834838867188;15.986086040935561;0.0
210.62542724609375;75.6888205965903;67.70436513227953;-7.98445546431077;150.905517578125;142.92106211381423;-7.98445546431077;210.62542724609375;15.96891092862154;0.0
277.33099365234375;141.1044974914587;136.88122823791684;-4.223269253541844;144.67303466796875;140.4497654144269;-4.223269253541844;277.33099365234375;8.446538507083687;0.0
153.99423217773438;154.1400148105249;153.99423217773438;-0.14578263279051384;0.0;0.0;0.0;153.99423217773438;0.14578263279051384;0.0
154.29818725585938;154.06526918616987;154.29818725585938;0.23291806968950368;0.0;0.0;0.0;154.29818725585938;-0.23291806968950368;0.0
152.88433837890625;152.6275909394965;152.88433837890625;0.256747439409736;0.0;0.0;0.0;152.88433837890625;-0.256747439409736;0.0
151.1394805908203;149.1596967780312;151.1394805908203;1.9797838127891225;0.0;0.0;0.0;151.1394805908203;-1.9797838127891225;0.0
152.62814331054688;152.6275909394965;152.62814331054688;0.0005523710503609891;0.0;0.0;0.0;152.62814331054688;-0.0005523710503609891;0.0
152.94778442382812;152.73665421908632;152.94778442382812;0.21113020474180644;0.0;0.0;0.0;152.94778442382812;-0.21113020474180644;0.0
153.8407745361328;154.1400148105249;153.8407745361328;-0.29924027439207634;0.0;0.0;0.0;153.8407745361328;0.29924027439207634;0.0
153.99423217773438;154.1400148105249;153.99423217773438;-0.14578263279051384;0.0;0.0;0.0;153.99423217773438;0.14578263279051384;0.0
153.5308837890625;154.1390485890186;153.5308837890625;-0.6081647999561142;0.0;0.0;0.0;153.5308837890625;0.6081647999561142;0.0
153.32215881347656;152.73901654861362;153.32215881347656;0.5831422648629427;0.0;0.0;0.0;153.32215881347656;-0.5831422648629427;0.0
155.52125549316406;156.10207346806638;155.52125549316406;-0.5808179749023168;0.0;0.0;0.0;155.52125549316406;0.5808179749023168;0.0
154.14669799804688;154.06526918616987;154.14669799804688;0.08142881187700368;0.0;0.0;0.0;154.14669799804688;-0.08142881187700368;0.0
152.75677490234375;152.6275909394965;152.75677490234375;0.129183962847236;0.0;0.0;0.0;152.75677490234375;-0.129183962847236;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
219.70521545410156;152.57869040372353;148.00053065718404;-4.578159746539484;76.28284454345703;71.70468479691753;-4.578159746539498;219.70521545410156;9.156319493078996;0.0
271.366943359375;140.87969966223216;134.36399076129186;-6.515708900940297;143.51866149902344;137.00295259808314;-6.515708900940297;271.366943359375;13.031417801880593;0.0
272.0718078613281;140.80790845490284;134.63848944473656;-6.16941901016628;143.6027374267578;137.43331841659153;-6.16941901016628;272.0718078613281;12.33883802033256;0.0
273.4066467285156;140.84714548609034;134.77658482800612;-6.070560658084219;144.70062255859375;138.63006190050953;-6.070560658084219;273.4066467285156;12.141121316168437;0.0
275.1377868652344;140.8495078156176;135.6634242569299;-5.186083558687727;144.6604461669922;139.47436260830446;-5.186083558687727;275.1377868652344;10.372167117375398;0.0
274.854248046875;140.8495078156176;135.51694751132442;-5.332560304293196;144.66986083984375;139.33730053555055;-5.332560304293196;274.854248046875;10.665120608586335;0.0
274.854248046875;140.8495078156176;135.51694751132442;-5.332560304293196;144.66986083984375;139.33730053555055;-5.332560304293196;274.854248046875;10.665120608586335;0.0
273.84619140625;140.84714548609034;135.0069009901155;-5.840244495974844;144.67953491210938;138.83929041613453;-5.840244495974844;273.84619140625;11.680488991949687;0.0
272.21124267578125;140.80790845490284;134.70237036514672;-6.1055380897561236;143.61441040039062;137.5088723106345;-6.1055380897561236;272.21124267578125;12.211076179512247;0.0
273.4066467285156;140.84714548609034;134.77658482800612;-6.070560658084219;144.70062255859375;138.63006190050953;-6.070560658084219;273.4066467285156;12.141121316168437;0.0
271.366943359375;140.87969966223216;134.36399076129186;-6.515708900940297;143.51866149902344;137.00295259808314;-6.515708900940297;271.366943359375;13.031417801880593;0.0
271.5089416503906;140.89012371457179;134.45806234556716;-6.432061369004629;143.48294067382812;137.0508793048235;-6.432061369004629;271.5089416503906;12.864122738009314;0.0
271.5089416503906;140.89012371457179;134.45806234556716;-6.432061369004629;143.48294067382812;137.0508793048235;-6.432061369004629;271.5089416503906;12.864122738009314;0.0
155.38623046875;0.0;0.0;0.0;154.30654907226562;155.38623046875;1.079681396484375;155.38623046875;-1.079681396484375;0.0
156.470703125;0.0;0.0;0.0;156.44308471679688;156.470703125;0.027618408203125;156.470703125;-0.027618408203125;0.0
156.04946899414062;0.0;0.0;0.0;155.79920959472656;156.04946899414062;0.2502593994140625;156.04946899414062;-0.2502593994140625;0.0
156.50057983398438;0.0;0.0;0.0;156.44578552246094;156.50057983398438;0.0547943115234375;156.50057983398438;-0.0547943115234375;0.0
156.67611694335938;0.0;0.0;0.0;156.8149871826172;156.67611694335938;-0.1388702392578125;156.67611694335938;0.1388702392578125;0.0
156.55801391601562;0.0;0.0;0.0;156.5804901123047;156.55801391601562;-0.0224761962890625;156.55801391601562;0.0224761962890625;0.0
156.88107299804688;0.0;0.0;0.0;156.90672302246094;156.88107299804688;-0.0256500244140625;156.88107299804688;0.0256500244140625;0.0
159.1948699951172;0.0;0.0;0.0;158.1076202392578;159.1948699951172;1.087249755859375;159.1948699951172;-1.087249755859375;0.0
157.6883087158203;0.0;0.0;0.0;157.26040649414062;157.6883087158203;0.4279022216796875;157.6883087158203;-0.4279022216796875;0.0
156.75167846679688;0.0;0.0;0.0;156.84645080566406;156.75167846679688;-0.0947723388671875;156.75167846679688;0.0947723388671875;0.0
156.3091278076172;0.0;0.0;0.0;156.1502685546875;156.3091278076172;0.1588592529296875;156.3091278076172;-0.1588592529296875;0.0
156.4400177001953;0.0;0.0;0.0;156.43231201171875;156.4400177001953;0.0077056884765625;156.4400177001953;-0.0077056884765625;0.0
156.51524353027344;0.0;0.0;0.0;156.45022583007812;156.51524353027344;0.0650177001953125;156.51524353027344;-0.0650177001953125;0.0
156.75167846679688;0.0;0.0;0.0;156.84645080566406;156.75167846679688;-0.0947723388671875;156.75167846679688;0.0947723388671875;0.0
157.79087829589844;0.0;0.0;0.0;157.36265563964844;157.79087829589844;0.42822265625;157.79087829589844;-0.42822265625;0.0
159.1165008544922;0.0;0.0;0.0;158.0792236328125;159.1165008544922;1.0372772216796875;159.1165008544922;-1.0372772216796875;0.0
173.84779357910156;0.0;0.0;0.0;162.04489135742188;173.84779357910156;11.802902221679688;173.84779357910156;-11.802902221679688;0.0
172.0546112060547;0.0;0.0;0.0;161.41258239746094;172.0546112060547;10.64202880859375;172.0546112060547;-10.64202880859375;0.0
171.3765411376953;0.0;0.0;0.0;161.2629852294922;171.3765411376953;10.113555908203125;171.3765411376953;-10.113555908203125;0.0
300.5158996582031;151.4464579964073;149.59503228189504;-1.85142571451226;152.7722930908203;150.92086737630805;-1.85142571451226;300.5158996582031;3.702851429024463;0.0
299.8100891113281;151.4464579964073;149.35871178628958;-2.0877462101177287;152.53912353515625;150.45137732503852;-2.0877462101177287;299.8100891113281;4.1754924202354005;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
240.92115783691406;158.76291014509664;158.8787161199116;0.11580597481494692;81.9266357421875;82.04244171700246;0.11580597481496113;240.92115783691406;-0.23161194962992226;0.0
301.6794738769531;151.4464579964073;149.74919182779348;-1.6972661686138224;153.62754821777344;151.93028204915962;-1.6972661686138224;301.6794738769531;3.394532337227588;0.0
304.8498840332031;154.2251424453523;151.44017742384804;-2.784965021504263;156.19467163085938;153.4097066093551;-2.784965021504263;304.8498840332031;5.569930043008526;0.0
244.41323852539062;161.20836373174146;161.19225559633946;-0.01610813540199274;83.23709106445312;83.22098292905115;-0.01610813540197853;244.41323852539062;0.03221627080395706;0.0
236.9986114501953;155.43440947631595;156.48160140563843;1.04719192932248;79.46981811523438;80.51701004455687;1.0471919293224943;236.9986114501953;-2.0943838586449885;0.0
240.4993133544922;158.20750388463898;158.39385966937027;0.18635578473129044;81.91909790039062;82.10545368512192;0.18635578473129044;240.4993133544922;-0.3727115694625809;0.0
244.62586975097656;161.8337306549034;161.65251062164117;-0.18122003326223535;83.15457916259766;82.9733591293354;-0.18122003326224956;244.62586975097656;0.3624400665244991;0.0
300.6329345703125;151.4464579964073;149.6475148868755;-1.7989431095317912;152.78436279296875;150.98541968343696;-1.7989431095317912;300.6329345703125;3.5978862190635255;0.0
301.9104919433594;151.4204170496958;149.8752475873479;-1.5451694623479;153.58041381835938;152.03524435601148;-1.5451694623479;301.9104919433594;3.0903389246958;0.0
301.56378173828125;151.4464579964073;149.69739586832083;-1.7490621280864787;153.61544799804688;151.8663858699604;-1.7490621280864787;301.56378173828125;3.4981242561729005;0.0
298.97833251953125;151.51865750614627;149.1771678033661;-2.3414897027801658;152.1426544189453;149.80116471616515;-2.3414897027801658;298.97833251953125;4.6829794055603315;0.0
